Gene	SRR3189679	SRR3189680	SRR3189681	SRR3189682	SRR3189683	SRR3189684	SRR3189685	SRR3189686	SRR3189687	SRR3189688	SRR3189689	SRR3189690	SRR3189691	SRR3189692	SRR3189693	SRR3189694	SRR3189695	SRR3189696	SRR3189697
ENSMUSG00000000247	0.4450836358848572	0.4811589516072051	0.30616159599931325	0.5950176419494692	0.41898231457396196	0.4947716737738845	0.7639670684210106	0.6501294398392025	0.5049921207650556	0.4459208910928244	0.5183401239255565	0.9000277172553778	1.4431208499227464	1.6738550779189398	0.42488099609969504	1.0512457006683493	0.4295032337921283	0.5131225238059134	0.453791063713582
ENSMUSG00000000248	1.1036642188707373	1.8162322618128053	1.7521059164860857	1.7356888371341717	3.281291021335749	3.156213912657953	3.5666977143053424	2.4829014544299546	2.6295802817509926	1.469322777509669	2.8802177141203464	2.2179754641687692	2.9685321997153613	3.3279147124490183	3.275182026144138	1.2025539382816732	1.5430709401958258	1.9494141043896749	2.7978918205375067
ENSMUSG00000000253	4.630321185302175	4.698297246469191	4.401668583092803	3.7203135238064244	4.068773473299802	3.996503917100253	3.530150018715804	4.034390929293376	3.649515993179887	3.8698820705757195	4.162534159174663	4.586861899444488	5.029194477755799	3.8206560774197253	3.8239760110618337	4.992560596500113	4.297839348248566	4.491201716002299	4.558808179697838
ENSMUSG00000000263	0.02856262247307973	0.036579343067061135	0.03741034072797474	0.02197858667796524	0.07553235662558486	0.06415830328198455	0.3522607170868355	0.03367995078795199	0.6190775082001271	0.42670014611954726	0.033989725803229946	0.06048005710517845	0.8049624869566617	0.07963392007249298	0.05026406735185754	0.06219031607641433	0.3483439458359169	0.055518277200405995	0.08376849618676617
ENSMUSG00000000266	2.2585560357386445	1.9096395705023088	1.5862206141644937	1.9533431540523383	0.07553235662558486	0.6534549194373069	0.47612161439534895	1.4395206507931746	1.143874168561679	0.5616765219714662	0.9929814453812364	1.6263038463039714	1.0036646555864022	1.5093599264826687	0.47271798057339703	1.1112895730279762	1.5010119480949247	1.8010350197284344	0.6205320837819792
ENSMUSG00000000275	7.892077164564697	7.424223612887964	8.331411410919527	7.5136831210020745	10.323273206856324	7.14910420903274	7.535298883532136	7.079209874678672	6.429166685330295	7.213371237742998	6.238118340849255	10.253718866463755	8.673904211108534	15.421853238407186	9.772444623077071	8.731084452031665	9.670741468454247	8.34500910812454	8.562746913177106
ENSMUSG00000000276	4.479466951010019	4.278698863525561	4.49648236242242	5.311679261394197	4.100359173342582	3.392746595039879	3.8873258766789274	3.8503845419821094	4.094242920110114	3.6284304632672506	3.9253924275230876	3.923522388942278	3.980774760787533	4.9466907949189345	4.2751026234777205	3.8011954055281465	4.216831112988036	4.597221747902531	4.408269068024485
ENSMUSG00000000278	5.070007481765096	6.126242155289906	4.893678211661006	4.539194979112845	9.676897200583575	14.517524340778543	9.34359452401028	5.748742628092566	7.380709909262807	4.993246705362828	7.184588104999461	6.445122034855462	8.689944588673448	9.309487593241533	12.378873532002991	4.354043620190421	5.760051899565568	5.005791611102837	6.3581062949020914
ENSMUSG00000000282	8.126412708238558	10.036115080311736	9.713096889448448	6.749523858123401	5.545228362551354	4.9047447737115935	6.2561817264801105	7.916239377261254	7.448010297032062	6.6464277850056215	5.828621497731858	11.386906339905401	4.502664176156753	6.414650443429266	6.23101646433554	9.955656469776653	11.815461621858926	7.081615488840253	8.076596780045247
ENSMUSG00000000290	5.124349933326464	6.816707810430146	5.8472470536222305	4.635500710431382	20.181907369944014	23.89768942806572	13.391153907351047	10.251005590936385	12.526774062435944	4.360166686655347	7.237757335084293	6.720314016151112	8.83536529338786	13.328127620577595	11.531636984035572	4.947355911411584	5.004420240640925	5.4200778692195	4.6373596651753655
